2021/07/31,5:00,0.0
2021/07/31,5:15,0.0
2021/07/31,5:30,0.0
2021/07/31,5:45,0.0
2021/07/31,6:00,0.0
2021/07/31,6:15,0.0
2021/07/31,6:30,0.9
2021/07/31,6:45,1.1
2021/07/31,7:00,2.7
2021/07/31,7:15,1.4
2021/07/31,7:30,2.1
2021/07/31,7:45,3.7
2021/07/31,8:00,7.1
2021/07/31,8:15,10.2
2021/07/31,8:30,9.9
2021/07/31,8:45,16.3
2021/07/31,9:00,23.7
2021/07/31,9:15,31.1
2021/07/31,9:30,35.7
2021/07/31,9:45,36.2
2021/07/31,10:00,44.2
2021/07/31,10:15,51.6
2021/07/31,10:30,54.0
2021/07/31,10:45,53.6
2021/07/31,11:00,47.0
2021/07/31,11:15,53.5
2021/07/31,11:30,56.4
2021/07/31,11:45,43.4
2021/07/31,12:00,44.7
2021/07/31,12:15,26.5
2021/07/31,12:30,21.0
2021/07/31,12:45,18.8
2021/07/31,13:00,26.9
2021/07/31,13:15,31.1
2021/07/31,13:30,37.6
2021/07/31,13:45,36.9
2021/07/31,14:00,45.7
2021/07/31,14:15,37.8
2021/07/31,14:30,55.2
2021/07/31,14:45,49.1
2021/07/31,15:00,47.2
2021/07/31,15:15,34.7
2021/07/31,15:30,26.3
2021/07/31,15:45,19.3
2021/07/31,16:00,19.1
2021/07/31,16:15,10.2
2021/07/31,16:30,13.8
2021/07/31,16:45,10.2
2021/07/31,17:00,6.8
2021/07/31,17:15,6.3
2021/07/31,17:30,4.2
2021/07/31,17:45,3.0
2021/07/31,18:00,2.7
2021/07/31,18:15,1.9
2021/07/31,18:30,1.0
2021/07/31,18:45,1.0
2021/07/31,19:00,0.5
2021/07/31,19:15,0.0
2021/07/31,19:30,0.0
2021/07/31,19:45,0.0
2021/07/31,20:00,0.0
