20210803
5.00	0.0
5.25	0.0
5.50	0.0
5.75	0.0
6.00	0.0
6.25	0.0
6.50	0.0
6.75	0.1
7.00	0.1
7.25	0.1
7.50	0.4
7.75	0.7
8.00	0.9
8.25	1.2
8.50	1.1
8.75	1.2
9.00	2.6
9.25	2.1
9.50	1.7
9.75	2.9
10.00	3.3
10.25	4.4
10.50	5.0
10.75	3.8
11.00	3.9
11.25	3.9
11.50	2.1
11.75	2.1
12.00	3.1
12.25	1.9
12.50	1.7
12.75	4.4
13.00	6.6
13.25	3.7
13.50	1.7
13.75	7.1
14.00	2.0
14.25	1.1
14.50	1.8
14.75	2.3
15.00	1.6
15.25	1.3
15.50	2.9
15.75	2.1
16.00	2.2
16.25	1.3
16.50	0.6
16.75	0.7
17.00	0.4
17.25	0.5
17.50	0.6
17.75	0.2
18.00	0.1
18.25	0.0
18.50	0.0
18.75	0.0
19.00	0.0
19.25	0.0
19.50	0.0
19.75	0.0
20.00	0.0
