Date,Wind Spd, Wind Dir
2021/07/07 3:30,19.0,95
2021/07/07 3:31,20.0,94
2021/07/07 3:32,21.0,93
2021/07/07 3:33,21.0,95
2021/07/07 3:34,21.0,96
2021/07/07 3:35,21.0,95
2021/07/07 3:36,21.0,97
2021/07/07 3:37,21.0,96
2021/07/07 3:38,20.0,97
2021/07/07 3:39,19.0,96
2021/07/07 3:40,19.0,95
2021/07/07 3:41,19.0,96
2021/07/07 3:42,18.0,95
2021/07/07 3:43,19.0,94
2021/07/07 3:44,18.0,95
2021/07/07 3:45,18.0,97
2021/07/07 3:46,18.0,94
2021/07/07 3:47,17.0,94
2021/07/07 3:48,15.0,91
2021/07/07 3:49,15.0,91
2021/07/07 3:50,14.0,90
2021/07/07 3:51,13.0,89
2021/07/07 3:52,12.0,89
2021/07/07 3:53,11.0,89
2021/07/07 3:54,10.0,108
2021/07/07 3:55,11.0,102
2021/07/07 3:56,11.0,97
2021/07/07 3:57,11.0,94
2021/07/07 3:58,12.0,89
2021/07/07 3:59,12.0,89
2021/07/07 4:00,12.0,89
2021/07/07 4:01,12.0,88
2021/07/07 4:02,14.0,83
2021/07/07 4:03,14.0,82
2021/07/07 4:04,13.0,80
2021/07/07 4:05,13.0,78
2021/07/07 4:06,14.0,77
2021/07/07 4:07,14.0,76
2021/07/07 4:08,14.0,78
2021/07/07 4:09,14.0,93
2021/07/07 4:10,14.0,85
2021/07/07 4:11,14.0,84
2021/07/07 4:12,13.0,80
2021/07/07 4:13,14.0,80
2021/07/07 4:14,14.0,84
2021/07/07 4:15,13.0,83
2021/07/07 4:16,12.0,82
2021/07/07 4:17,12.0,80
2021/07/07 4:18,12.0,80
2021/07/07 4:19,12.0,82
2021/07/07 4:20,12.0,87
2021/07/07 4:21,12.0,88
2021/07/07 4:22,13.0,92
2021/07/07 4:23,13.0,94
2021/07/07 4:24,14.0,91
2021/07/07 4:25,14.0,94
2021/07/07 4:26,15.0,95
2021/07/07 4:27,15.0,94
2021/07/07 4:28,15.0,94
2021/07/07 4:29,17.0,93
2021/07/07 4:30,17.0,90
2021/07/07 4:31,16.0,91
2021/07/07 4:32,16.0,90
2021/07/07 4:33,16.0,91
2021/07/07 4:34,15.0,93
2021/07/07 4:35,14.0,91
2021/07/07 4:36,14.0,93
2021/07/07 4:37,14.0,93
2021/07/07 4:38,14.0,94
2021/07/07 4:39,13.0,101
2021/07/07 4:40,12.0,96
2021/07/07 4:41,12.0,95
2021/07/07 4:42,12.0,96
2021/07/07 4:43,14.0,97
2021/07/07 4:44,14.0,96
2021/07/07 4:45,15.0,96
2021/07/07 4:46,15.0,97
2021/07/07 4:47,15.0,98
2021/07/07 4:48,15.0,98
2021/07/07 4:49,15.0,99
2021/07/07 4:50,15.0,99
2021/07/07 4:51,14.0,100
2021/07/07 4:52,14.0,99
2021/07/07 4:53,13.0,99
2021/07/07 4:54,12.0,100
2021/07/07 4:55,12.0,98
2021/07/07 4:56,12.0,96
2021/07/07 4:57,11.0,95
2021/07/07 4:58,10.0,94
2021/07/07 4:59,10.0,95
2021/07/07 5:00,10.0,93
2021/07/07 5:01,10.0,95
2021/07/07 5:02,9.0,95
2021/07/07 5:03,9.0,93
2021/07/07 5:04,9.0,94
2021/07/07 5:05,9.0,98
2021/07/07 5:06,9.0,99
2021/07/07 5:07,9.0,101
2021/07/07 5:08,9.0,103
2021/07/07 5:09,9.0,102
2021/07/07 5:10,9.0,104
2021/07/07 5:11,9.0,101
2021/07/07 5:12,9.0,97
2021/07/07 5:13,8.0,95
2021/07/07 5:14,8.0,92
2021/07/07 5:15,7.0,92
2021/07/07 5:16,6.0,92
2021/07/07 5:17,6.0,89
2021/07/07 5:18,6.0,89
2021/07/07 5:19,6.0,91
2021/07/07 5:20,6.0,93
2021/07/07 5:21,6.0,96
2021/07/07 5:22,6.0,104
2021/07/07 5:23,6.0,108
2021/07/07 5:24,8.0,111
2021/07/07 5:25,8.0,108
2021/07/07 5:26,8.0,106
2021/07/07 5:27,9.0,107
2021/07/07 5:28,9.0,105
2021/07/07 5:29,9.0,101
2021/07/07 5:30,9.0,96
