Date,Visibility
2021/08/22 0:00,34430.0,
2021/08/22 0:01,33580.0,
2021/08/22 0:02,34370.0,
2021/08/22 0:03,35560.0,
2021/08/22 0:04,36550.0,
2021/08/22 0:05,36240.0,
2021/08/22 0:06,35820.0,
2021/08/22 0:07,36020.0,
2021/08/22 0:08,36060.0,
2021/08/22 0:09,35240.0,
2021/08/22 0:10,34310.0,
2021/08/22 0:11,33120.0,
2021/08/22 0:12,32970.0,
2021/08/22 0:13,31220.0,
2021/08/22 0:14,29400.0,
2021/08/22 0:15,28740.0,
2021/08/22 0:16,28580.0,
2021/08/22 0:17,28600.0,
2021/08/22 0:18,29450.0,
2021/08/22 0:19,29660.0,
2021/08/22 0:20,30400.0,
2021/08/22 0:21,30990.0,
2021/08/22 0:22,30950.0,
2021/08/22 0:23,32580.0,
2021/08/22 0:24,34440.0,
2021/08/22 0:25,34800.0,
2021/08/22 0:26,34980.0,
2021/08/22 0:27,,
2021/08/22 0:28,36740.0,
2021/08/22 0:29,36470.0,
2021/08/22 0:30,36480.0,
2021/08/22 0:31,36670.0,
2021/08/22 0:32,37710.0,
2021/08/22 0:33,37340.0,
2021/08/22 0:34,35350.0,
2021/08/22 0:35,36070.0,
2021/08/22 0:36,36810.0,
2021/08/22 0:37,35600.0,
2021/08/22 0:38,34990.0,
2021/08/22 0:39,35030.0,
2021/08/22 0:40,34590.0,
2021/08/22 0:41,34300.0,
2021/08/22 0:42,35360.0,
2021/08/22 0:43,36260.0,
2021/08/22 0:44,36300.0,
2021/08/22 0:45,35760.0,
2021/08/22 0:46,38190.0,
2021/08/22 0:47,38860.0,
2021/08/22 0:48,39900.0,
2021/08/22 0:49,40030.0,
2021/08/22 0:50,40340.0,
2021/08/22 0:51,41600.0,
2021/08/22 0:52,39860.0,
2021/08/22 0:53,39540.0,
2021/08/22 0:54,41140.0,
2021/08/22 0:55,38730.0,
2021/08/22 0:56,37620.0,
2021/08/22 0:57,37550.0,
2021/08/22 0:58,37140.0,
2021/08/22 0:59,34430.0,
2021/08/22 1:00,34180.0,
2021/08/22 1:01,33150.0,
2021/08/22 1:02,33830.0,
2021/08/22 1:03,33780.0,
2021/08/22 1:04,33190.0,
2021/08/22 1:05,35760.0,
2021/08/22 1:06,35480.0,
2021/08/22 1:07,35460.0,
2021/08/22 1:08,33300.0,
2021/08/22 1:09,36040.0,
2021/08/22 1:10,37130.0,
2021/08/22 1:11,37410.0,
2021/08/22 1:12,37600.0,
2021/08/22 1:13,38350.0,
2021/08/22 1:14,39580.0,
2021/08/22 1:15,39950.0,
2021/08/22 1:16,40350.0,
2021/08/22 1:17,40570.0,
2021/08/22 1:18,44640.0,
2021/08/22 1:19,43900.0,
2021/08/22 1:20,42630.0,
2021/08/22 1:21,44600.0,
2021/08/22 1:22,45460.0,
2021/08/22 1:23,41150.0,
2021/08/22 1:24,41560.0,
2021/08/22 1:25,41370.0,
2021/08/22 1:26,42770.0,
2021/08/22 1:27,44140.0,
2021/08/22 1:28,42860.0,
2021/08/22 1:29,43910.0,
2021/08/22 1:30,46000.0,
2021/08/22 1:31,45930.0,
2021/08/22 1:32,46200.0,
2021/08/22 1:33,50000.0,
2021/08/22 1:34,50000.0,
2021/08/22 1:35,49770.0,
2021/08/22 1:36,48660.0,
2021/08/22 1:37,48850.0,
2021/08/22 1:38,47740.0,
2021/08/22 1:39,45760.0,
2021/08/22 1:40,45260.0,
2021/08/22 1:41,45330.0,
2021/08/22 1:42,45410.0,
2021/08/22 1:43,46130.0,
2021/08/22 1:44,45810.0,
2021/08/22 1:45,46110.0,
2021/08/22 1:46,46730.0,
2021/08/22 1:47,44430.0,
2021/08/22 1:48,46540.0,
2021/08/22 1:49,47970.0,
2021/08/22 1:50,47930.0,
2021/08/22 1:51,46640.0,
2021/08/22 1:52,46770.0,
2021/08/22 1:53,47330.0,
2021/08/22 1:54,49100.0,
2021/08/22 1:55,49460.0,
2021/08/22 1:56,48870.0,
2021/08/22 1:57,50000.0,
2021/08/22 1:58,50000.0,
2021/08/22 1:59,50000.0,
2021/08/22 2:00,50000.0,
2021/08/22 2:01,50000.0,
2021/08/22 2:02,50000.0,
2021/08/22 2:03,50000.0,
2021/08/22 2:04,50000.0,
2021/08/22 2:05,50000.0,
2021/08/22 2:06,50000.0,
2021/08/22 2:07,50000.0,
2021/08/22 2:08,50000.0,
2021/08/22 2:09,50000.0,
2021/08/22 2:10,50000.0,
2021/08/22 2:11,50000.0,
2021/08/22 2:12,50000.0,
2021/08/22 2:13,50000.0,
2021/08/22 2:14,50000.0,
2021/08/22 2:15,50000.0,
2021/08/22 2:16,50000.0,
2021/08/22 2:17,45160.0,
2021/08/22 2:18,42770.0,
2021/08/22 2:19,42570.0,
2021/08/22 2:20,42260.0,
2021/08/22 2:21,41510.0,
2021/08/22 2:22,42580.0,
2021/08/22 2:23,43550.0,
2021/08/22 2:24,43050.0,
2021/08/22 2:25,43090.0,
2021/08/22 2:26,46110.0,
2021/08/22 2:27,50000.0,
2021/08/22 2:28,50000.0,
2021/08/22 2:29,50000.0,
2021/08/22 2:30,50000.0,
2021/08/22 2:31,50000.0,
2021/08/22 2:32,50000.0,
2021/08/22 2:33,50000.0,
2021/08/22 2:34,50000.0,
2021/08/22 2:35,49420.0,
2021/08/22 2:36,49420.0,
2021/08/22 2:37,50000.0,
2021/08/22 2:38,50000.0,
2021/08/22 2:39,50000.0,
2021/08/22 2:40,50000.0,
2021/08/22 2:41,49810.0,
2021/08/22 2:42,49880.0,
2021/08/22 2:43,49450.0,
2021/08/22 2:44,48820.0,
2021/08/22 2:45,50000.0,
2021/08/22 2:46,50000.0,
2021/08/22 2:47,50000.0,
2021/08/22 2:48,50000.0,
2021/08/22 2:49,50000.0,
2021/08/22 2:50,50000.0,
2021/08/22 2:51,50000.0,
2021/08/22 2:52,50000.0,
2021/08/22 2:53,50000.0,
2021/08/22 2:54,50000.0,
2021/08/22 2:55,50000.0,
2021/08/22 2:56,50000.0,
2021/08/22 2:57,50000.0,
2021/08/22 2:58,50000.0,
2021/08/22 2:59,50000.0,
2021/08/22 3:00,50000.0,
2021/08/22 3:01,50000.0,
2021/08/22 3:02,50000.0,
2021/08/22 3:03,50000.0,
2021/08/22 3:04,50000.0,
2021/08/22 3:05,50000.0,
2021/08/22 3:06,50000.0,
2021/08/22 3:07,50000.0,
2021/08/22 3:08,50000.0,
2021/08/22 3:09,50000.0,
2021/08/22 3:10,50000.0,
2021/08/22 3:11,50000.0,
2021/08/22 3:12,50000.0,
2021/08/22 3:13,46880.0,
2021/08/22 3:14,41690.0,
2021/08/22 3:15,41520.0,
2021/08/22 3:16,40730.0,
2021/08/22 3:17,39840.0,
2021/08/22 3:18,39550.0,
2021/08/22 3:19,39550.0,
2021/08/22 3:20,39500.0,
2021/08/22 3:21,39860.0,
2021/08/22 3:22,42130.0,
2021/08/22 3:23,46750.0,
2021/08/22 3:24,,
2021/08/22 3:25,50000.0,
2021/08/22 3:26,50000.0,
2021/08/22 3:27,50000.0,
2021/08/22 3:28,50000.0,
2021/08/22 3:29,50000.0,
2021/08/22 3:30,50000.0,
2021/08/22 3:31,50000.0,
2021/08/22 3:32,50000.0,
2021/08/22 3:33,50000.0,
2021/08/22 3:34,50000.0,
2021/08/22 3:35,49500.0,
2021/08/22 3:36,50000.0,
2021/08/22 3:37,50000.0,
2021/08/22 3:38,49780.0,
2021/08/22 3:39,49470.0,
2021/08/22 3:40,49470.0,
2021/08/22 3:41,48790.0,
2021/08/22 3:42,49540.0,
2021/08/22 3:43,49060.0,
2021/08/22 3:44,50000.0,
2021/08/22 3:45,50000.0,
2021/08/22 3:46,50000.0,
2021/08/22 3:47,50000.0,
2021/08/22 3:48,50000.0,
2021/08/22 3:49,50000.0,
2021/08/22 3:50,50000.0,
2021/08/22 3:51,50000.0,
2021/08/22 3:52,50000.0,
2021/08/22 3:53,50000.0,
2021/08/22 3:54,50000.0,
2021/08/22 3:55,50000.0,
2021/08/22 3:56,50000.0,
2021/08/22 3:57,50000.0,
2021/08/22 3:58,50000.0,
2021/08/22 3:59,50000.0,
2021/08/22 4:00,50000.0,
2021/08/22 4:01,50000.0,
2021/08/22 4:02,50000.0,
2021/08/22 4:03,,
2021/08/22 4:04,50000.0,
2021/08/22 4:05,50000.0,
2021/08/22 4:06,50000.0,
2021/08/22 4:07,50000.0,
2021/08/22 4:08,50000.0,
2021/08/22 4:09,50000.0,
2021/08/22 4:10,49070.0,
2021/08/22 4:11,47540.0,
2021/08/22 4:12,46540.0,
2021/08/22 4:13,45670.0,
2021/08/22 4:14,47590.0,
2021/08/22 4:15,48090.0,
2021/08/22 4:16,47920.0,
2021/08/22 4:17,48120.0,
2021/08/22 4:18,48080.0,
2021/08/22 4:19,47720.0,
2021/08/22 4:20,49840.0,
2021/08/22 4:21,49880.0,
2021/08/22 4:22,45250.0,
2021/08/22 4:23,41710.0,
2021/08/22 4:24,41250.0,
2021/08/22 4:25,40330.0,
2021/08/22 4:26,39110.0,
2021/08/22 4:27,38480.0,
2021/08/22 4:28,35170.0,
2021/08/22 4:29,34770.0,
2021/08/22 4:30,35260.0,
2021/08/22 4:31,35530.0,
2021/08/22 4:32,37130.0,
2021/08/22 4:33,40610.0,
2021/08/22 4:34,40990.0,
2021/08/22 4:35,41310.0,
