Date,Visibility
2021/08/02 0:00,38150.0,
2021/08/02 0:01,37180.0,
2021/08/02 0:02,36780.0,
2021/08/02 0:03,37000.0,
2021/08/02 0:04,37300.0,
2021/08/02 0:05,38070.0,
2021/08/02 0:06,39320.0,
2021/08/02 0:07,40130.0,
2021/08/02 0:08,40050.0,
2021/08/02 0:09,40160.0,
2021/08/02 0:10,40660.0,
2021/08/02 0:11,41370.0,
2021/08/02 0:12,41090.0,
2021/08/02 0:13,41570.0,
2021/08/02 0:14,42660.0,
2021/08/02 0:15,42750.0,
2021/08/02 0:16,42010.0,
2021/08/02 0:17,40610.0,
2021/08/02 0:18,40440.0,
2021/08/02 0:19,40530.0,
2021/08/02 0:20,41230.0,
2021/08/02 0:21,41750.0,
2021/08/02 0:22,42090.0,
2021/08/02 0:23,41560.0,
2021/08/02 0:24,40860.0,
2021/08/02 0:25,40720.0,
2021/08/02 0:26,41340.0,
2021/08/02 0:27,42860.0,
2021/08/02 0:28,42980.0,
2021/08/02 0:29,41970.0,
2021/08/02 0:30,41500.0,
2021/08/02 0:31,41790.0,
2021/08/02 0:32,42380.0,
2021/08/02 0:33,42660.0,
2021/08/02 0:34,42450.0,
2021/08/02 0:35,42490.0,
2021/08/02 0:36,42180.0,
2021/08/02 0:37,41460.0,
2021/08/02 0:38,41430.0,
2021/08/02 0:39,41760.0,
2021/08/02 0:40,40900.0,
2021/08/02 0:41,39720.0,
2021/08/02 0:42,39040.0,
2021/08/02 0:43,38540.0,
2021/08/02 0:44,38040.0,
2021/08/02 0:45,38090.0,
2021/08/02 0:46,38540.0,
2021/08/02 0:47,38450.0,
2021/08/02 0:48,38410.0,
2021/08/02 0:49,38720.0,
2021/08/02 0:50,38780.0,
2021/08/02 0:51,38630.0,
2021/08/02 0:52,38630.0,
2021/08/02 0:53,38380.0,
2021/08/02 0:54,37710.0,
2021/08/02 0:55,36590.0,
2021/08/02 0:56,35590.0,
2021/08/02 0:57,35790.0,
2021/08/02 0:58,35350.0,
2021/08/02 0:59,34320.0,
2021/08/02 1:00,34150.0,
2021/08/02 1:01,33980.0,
2021/08/02 1:02,33610.0,
2021/08/02 1:03,33230.0,
2021/08/02 1:04,34080.0,
2021/08/02 1:05,34630.0,
2021/08/02 1:06,35570.0,
2021/08/02 1:07,35320.0,
2021/08/02 1:08,35860.0,
2021/08/02 1:09,36170.0,
2021/08/02 1:10,36400.0,
2021/08/02 1:11,36880.0,
2021/08/02 1:12,37390.0,
2021/08/02 1:13,37790.0,
2021/08/02 1:14,37320.0,
2021/08/02 1:15,36980.0,
2021/08/02 1:16,36550.0,
2021/08/02 1:17,37120.0,
2021/08/02 1:18,36510.0,
2021/08/02 1:19,37010.0,
2021/08/02 1:20,36490.0,
2021/08/02 1:21,36000.0,
2021/08/02 1:22,35690.0,
2021/08/02 1:23,35540.0,
2021/08/02 1:24,35350.0,
2021/08/02 1:25,35460.0,
2021/08/02 1:26,35740.0,
2021/08/02 1:27,34810.0,
2021/08/02 1:28,34580.0,
2021/08/02 1:29,34840.0,
2021/08/02 1:30,35880.0,
2021/08/02 1:31,36960.0,
2021/08/02 1:32,37950.0,
2021/08/02 1:33,38700.0,
2021/08/02 1:34,39610.0,
2021/08/02 1:35,38640.0,
2021/08/02 1:36,37910.0,
2021/08/02 1:37,37360.0,
2021/08/02 1:38,37490.0,
2021/08/02 1:39,37250.0,
