Date,Visibility
2021/07/28 0:00,30710.0,
2021/07/28 0:01,30790.0,
2021/07/28 0:02,30940.0,
2021/07/28 0:03,30660.0,
2021/07/28 0:04,31170.0,
2021/07/28 0:05,31580.0,
2021/07/28 0:06,31650.0,
2021/07/28 0:07,31320.0,
2021/07/28 0:08,31430.0,
2021/07/28 0:09,30370.0,
2021/07/28 0:10,29800.0,
2021/07/28 0:11,29710.0,
2021/07/28 0:12,29920.0,
2021/07/28 0:13,30180.0,
2021/07/28 0:14,29660.0,
2021/07/28 0:15,28800.0,
2021/07/28 0:16,29060.0,
2021/07/28 0:17,29800.0,
2021/07/28 0:18,30120.0,
2021/07/28 0:19,31430.0,
2021/07/28 0:20,31820.0,
2021/07/28 0:21,31160.0,
2021/07/28 0:22,30310.0,
2021/07/28 0:23,29930.0,
2021/07/28 0:24,30110.0,
2021/07/28 0:25,31430.0,
2021/07/28 0:26,32390.0,
2021/07/28 0:27,32590.0,
2021/07/28 0:28,32100.0,
2021/07/28 0:29,30890.0,
2021/07/28 0:30,30270.0,
2021/07/28 0:31,30000.0,
2021/07/28 0:32,30320.0,
2021/07/28 0:33,30220.0,
2021/07/28 0:34,29810.0,
2021/07/28 0:35,28770.0,
2021/07/28 0:36,28400.0,
2021/07/28 0:37,28030.0,
2021/07/28 0:38,28240.0,
2021/07/28 0:39,28450.0,
2021/07/28 0:40,28800.0,
2021/07/28 0:41,29350.0,
2021/07/28 0:42,29590.0,
2021/07/28 0:43,29790.0,
2021/07/28 0:44,29770.0,
2021/07/28 0:45,30010.0,
2021/07/28 0:46,29150.0,
2021/07/28 0:47,28710.0,
2021/07/28 0:48,28620.0,
2021/07/28 0:49,28700.0,
2021/07/28 0:50,28110.0,
2021/07/28 0:51,27780.0,
2021/07/28 0:52,27080.0,
2021/07/28 0:53,26200.0,
2021/07/28 0:54,25800.0,
2021/07/28 0:55,25650.0,
2021/07/28 0:56,25830.0,
2021/07/28 0:57,25800.0,
2021/07/28 0:58,26020.0,
2021/07/28 0:59,25180.0,
2021/07/28 1:00,23470.0,
2021/07/28 1:01,21880.0,
2021/07/28 1:02,20730.0,
2021/07/28 1:03,19530.0,
2021/07/28 1:04,18450.0,
2021/07/28 1:05,17400.0,
2021/07/28 1:06,16470.0,
2021/07/28 1:07,15780.0,
2021/07/28 1:08,15100.0,
2021/07/28 1:09,14790.0,
2021/07/28 1:10,15010.0,
2021/07/28 1:11,15220.0,
2021/07/28 1:12,15400.0,
2021/07/28 1:13,15620.0,
2021/07/28 1:14,15760.0,
2021/07/28 1:15,15910.0,
2021/07/28 1:16,16040.0,
2021/07/28 1:17,16110.0,
2021/07/28 1:18,16100.0,
